Dataset,A,Y,L,r_difference,r_ratio,o_ratio
P1,Ph,H,,0.047619048,1.166666667,1.25
P2,Ph,H,,0.700854701,10.11111111,42
P1,Ph,I,,,,
P2,Ph,I,,0.457264957,3.972222222,8.642857143
P1,Ph,L,,,,
P2,Ph,L,,0.735042735,5.777777778,44
P1,Ph,S,,-0.238095238,0.583333333,0.375
P2,Ph,S,,0.435897436,2.888888889,6.666666667
P1,Ph,A,,0.047619048,1.166666667,1.25
P2,Ph,A,,0.414529915,2.347222222,5.85
P1,Ph,P,,-0.095238095,0.777777778,0.666666667
P2,Ph,P,,0.568376068,4.694444444,14.3
P1,Ph,R,,,,
P2,Ph,R,,0.324786325,2.407407407,4.166666667
P1,Ph,D,,,,
P2,Ph,D,,0.427350427,1.925925926,9.333333333
P1,Ph,T,,0.523809524,4.666666667,12
P2,Ph,T,,0.636752137,3.069444444,38.25
P1,Ph,H,,0.047619048,1.166666667,1.25
P2,Ph,H,,0.700854701,10.11111111,42
P1,I,L,Ph,,,
P2,I,L,Ph,0.449518224,1.903198653,18.11059671
P1,P,A,Ph,0.358333333,3.047619048,5.387755102
P2,P,A,Ph,0.193570945,1.418299698,2.217146413
P1,A,P,Ph,0.37,2.321428571,4.775510204
P2,A,P,Ph,0.156506755,1.39623761,1.883450937
P1,P,R,Ph,0.116666667,1.333333333,1.625
P2,P,R,Ph,-0.06309497,0.883322209,0.776621617
P1,R,P,Ph,,,
P2,R,P,Ph,-0.061827957,0.887585533,0.780366692
P1,S,A,Ph,0.2,2.333333333,3.051282051
P2,S,A,Ph,0.679569892,4.761904762,27.91208791
P1,A,S,Ph,0.27,1.627906977,3.093023256
P2,A,S,Ph,0.699062586,16.00295858,59.98724203
P1,S,R,Ph,,,
P2,S,R,Ph,0.431182796,2.831050228,6.493150685
P1,R,S,Ph,,,
P2,R,S,Ph,0.411827957,2.239482201,5.843354818
P1,D,T,Ph,,,
P2,D,T,Ph,0.440092166,2.256578947,6.99291498
